#airframe_info," log_version=""1.01"""," airframe_name=""Beechcraft G58"""," unit_software_part_number=""006-B1177-56"""," unit_software_version=""20.05"""," system_software_part_number=""006-B2788-03"""," system_id=""2591E0974""", mode=NORMAL," flightstream_header=""2591E0974_20000101_000000""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,      gph,   deg F,       psi,     Hg,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E2 FFlow, E2 OilT,   E2 OilP, E2 MAP, E2 RPM, E2 CHT1, E2 CHT2, E2 CHT3, E2 CHT4, E2 CHT5, E2 CHT6, E2 EGT1, E2 EGT2, E2 EGT3, E2 EGT4, E2 EGT5, E2 EGT6,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
          ,         ,        ,       ,             ,             ,558.9,29.88,        ,16.5,0,       ,109.42,3,-0.27,0,-0.03,90.9,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,        ,          ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,0,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,554.9,29.88,        ,16.5,0,       ,87.22,3.01,-0.25,-0.01,0.01,90.9,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,        ,          ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
          ,         ,        ,       ,             ,             ,549.9,29.88,        ,16.5,0,       ,5.03,3.04,-0.25,0.01,0.03,91,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,        ,          ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,       ,      ,       ,      ,      ,      , NoSoln,3704,      ,       ,      ,       
2/16/2019, 06:45:24,  -05:00,       ,29.8122425,30.8269558,546.9,29.88,776.6,16.5,0,0,-98.3,2.99,-0.25,0.01,-0.02,91,265.7,28.3,28.3,       ,       ,3.3,150.04,50.81,13.9,1072.8,197.99,213.6,184.33,201.71,166.74,182.82,879.15,946.33,897.13,920.03,849.4,989.92,2.46,152.66,44.7,13.9,899.6,192.31,165.64,180.3,155.2,160.16,142.44,926.76,731.33,803.25,710.92,851.93,516.42,827.6,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,439,       
2/16/2019, 06:45:25,  -05:00,       ,29.8122501,30.826952,546.9,29.88,784.1,16.5,0,0,-146.94,3.02,-0.24,0,0.01,91,265.7,28.3,28.3,74.34,74.91,3.29,150.07,50.7,14.03,1069,198.46,214.1,184.64,202.05,167.02,183.15,879.97,948.09,899.15,922.21,846.29,990.78,2.44,152.61,44.6,13.99,890.8,193.04,166.3,180.93,155.75,160.57,142.66,931.17,733.88,807.17,712.47,858.12,520.9,835.1,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,3.9,     3D,3704,      ,       ,190.5,       
2/16/2019, 06:45:26,  -05:00,       ,29.8122463,30.826952,548.9,29.88,787.8,16.5,0,0,-118.05,3.04,-0.23,0.01,0.03,91,265.7,28.3,28.3,74.34,74.91,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,2.43,        ,          ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,838.8,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,191,       
2/16/2019, 06:45:27,  -05:00,       ,29.8122501,30.826952,550.9,29.88,783.9,16.5,0,0,-46.07,3.04,-0.26,0,0,91,265.7,      ,      ,74.34,74.91,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,         ,        ,          ,       ,       ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,834.9,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,191,       
2/16/2019, 06:45:28,  -05:00,       ,29.8122501,30.826952,545.9,29.88,782.5,16.5,0,0,-26.73,3.02,-0.19,0,0.02,91,265.7,28.3,28.3,74.34,74.91,3.31,150.18,50.85,13.99,1078.4,199.87,215.59,185.56,203.04,167.84,184.11,888.2,954.57,907.67,930.01,857.57,997.98,2.46,152.43,45.03,13.76,921.2,195.11,168.29,182.8,157.33,161.64,143.3,946.42,738.4,817.43,719.47,871.51,526.86,833.5,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,191,       
2/16/2019, 06:45:29,  -05:00,       ,29.8122501,30.826952,545.9,29.88,783,16.5,0,0,-54.93,3.04,-0.24,0,0,91,265.7,28.3,28.3,74.34,       ,3.31,150.23,50.81,13.93,1076.8,200.35,216.1,185.83,203.36,168.11,184.43,888.16,956.71,907.99,933.13,853.35,999.2,2.47,152.35,44.95,13.83,903.1,195.84,168.96,183.38,157.93,162.01,143.53,949.75,740.09,820.97,709.25,875.47,531.04,834.1,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,191,       
2/16/2019, 06:45:30,  -05:00,       ,29.8122501,30.826952,547.9,29.88,783.6,16.5,0,0,-50.26,3.05,-0.23,0.01,-0.01,91,265.7,28.3,28.3,74.34,74.91,3.33,150.25,50.86,13.9,1077.3,200.81,216.6,186.13,203.67,168.36,184.74,890.17,959.21,909.15,936.05,856.96,1001.42,2.47,152.31,44.91,13.8,923.5,196.61,169.58,184,158.44,162.4,143.76,949.51,745.32,820.85,705.91,869.79,539.62,834.6,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,191,       
2/16/2019, 06:45:31,  -05:00,       ,29.812252,30.8269596,546.9,29.88,777.8,16.5,0,0,-32.34,3.05,-0.23,-0.01,-0.02,90.9,265.7,28.3,28.3,74.33,74.91,3.3,150.25,50.76,13.98,1065.2,201.26,217.1,186.45,203.98,168.6,185.06,892.35,960.81,909.84,937.2,855.42,1001.52,2.47,152.25,45,13.81,909.1,197.28,170.23,184.57,158.95,162.75,143.95,951.82,749.61,823.07,709.93,872.4,543.38,828.9,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,111.5,       
2/16/2019, 06:45:32,  -05:00,       ,29.812252,30.8269596,547.9,29.88,777.2,16.5,0,0,-13.85,3.02,-0.21,0,-0.03,90.9,265.7,28.3,28.3,74.33,74.91,3.31,150.23,50.75,13.98,1070.2,201.67,217.55,186.73,204.27,168.82,185.33,895.42,962.51,912.33,937.39,860.57,1001.1,2.47,152.18,44.82,13.9,915.5,197.97,170.89,185.21,159.47,163.13,144.19,954.83,751.68,825.82,713.85,877.75,546.89,828.3,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,3.9,     3D,3704,      ,       ,111.5,       
2/16/2019, 06:45:33,  -05:00,       ,29.812252,30.8269596,551.9,29.88,776.3,16.5,0,0,31.34,3.09,-0.2,0,0,90.9,265.7,28.3,28.3,74.33,74.91,3.32,150.26,50.93,13.92,1084.3,202.11,217.99,187.05,204.6,169.08,185.65,897.29,963.7,914.41,939.38,862.97,1000.2,2.48,152.12,44.89,13.81,923.3,198.66,171.56,185.79,159.93,163.53,144.42,957.78,753.78,828.93,709.13,882.88,548.21,827.4,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,111.5,       
2/16/2019, 06:45:34,  -05:00,       ,29.812252,30.8269596,547.9,29.88,776.3,16.5,0,0,32.02,3.03,-0.21,0,0,90.9,265.7,28.3,28.3,74.33,74.91,3.36,150.34,50.88,13.89,1082.2,202.57,218.47,187.39,204.95,169.36,185.98,901.75,965.08,918.64,941.87,877.67,1001.13,2.47,152.05,45.08,13.68,932.3,199.38,172.27,186.45,160.52,163.94,144.67,959.5,759.01,830.49,711.03,880.91,556.52,827.3,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,111.5,       
2/16/2019, 06:45:35,  -05:00,       ,29.812252,30.8269596,547.9,29.88,776.7,16.5,0,0,7.73,3.04,-0.25,0.01,0.02,91,265.7,28.3,28.3,74.33,74.91,3.32,150.42,50.72,14.03,1066.5,202.96,218.9,187.64,205.18,169.55,186.24,903.28,965.85,921.07,942.78,880.2,1003.65,2.46,151.99,45.04,13.81,924.5,200.08,172.92,187.07,161.02,164.32,144.87,960.91,762.22,834.35,709.2,881.91,561.21,827.7,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,111.5,       
2/16/2019, 06:45:36,  -05:00,       ,29.812252,30.8269596,547.9,29.88,777,16.5,0,0,-15.33,3.04,-0.24,0,0.01,90.9,265.7,28.3,28.3,74.33,74.91,3.32,150.46,50.8,13.94,1080.3,203.42,219.42,188,205.57,169.85,186.57,906.73,967.87,924.48,944.55,891.38,1004.94,2.44,151.96,44.91,13.83,919.7,200.83,173.57,187.67,161.58,164.75,145.12,961.23,764.91,835.97,710.92,880.26,562.64,828,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,111.5,       
2/16/2019, 06:45:37,  -05:00,       ,29.8122597,30.8269596,549.9,29.88,776.8,16.5,0,0,-13.97,3.04,-0.24,-0.01,0.03,90.9,265.7,28.3,28.3,74.33,74.91,3.36,150.49,50.94,13.83,1086.8,203.81,219.87,188.25,205.85,170.07,186.84,908.64,969.63,927.23,945.74,894.09,1004.74,2.44,151.91,44.88,13.84,913.5,201.54,174.25,188.23,162.05,165.16,145.34,962.73,765.97,838.76,706.21,883.46,566.32,827.8,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,111,       
2/16/2019, 06:45:38,  -05:00,       ,29.8122597,30.8269596,552.9,29.88,776.5,16.5,0,0,18.77,3.05,-0.26,0,0.02,90.9,265.7,28.3,28.3,74.33,74.91,3.33,150.5,50.83,13.86,1080.6,204.26,220.35,188.61,206.18,170.34,187.17,909.9,971.15,929.78,948.41,893.35,1006.93,2.48,151.87,44.89,13.81,921.9,202.21,174.85,188.77,162.59,165.5,145.52,965.61,768.87,841,711.57,890.79,568.45,827.5,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,111,       
2/16/2019, 06:45:39,  -05:00,       ,29.8122597,30.8269596,548.9,29.88,775.7,16.5,0,0,37.09,3.01,-0.29,0.03,-0.03,91,265.7,28.3,28.3,74.33,74.91,3.33,150.5,50.84,13.91,1080.3,204.64,220.78,188.91,206.48,170.61,187.44,911.5,972.58,933.22,948.99,898.26,1008.32,2.47,151.87,44.96,13.79,923.9,202.93,175.53,189.33,163.12,165.91,145.78,968.66,772.56,843.44,713.41,894.95,571.81,826.7,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,111,       
2/16/2019, 06:45:40,  -05:00,       ,29.8122597,30.8269596,548.9,29.88,775.3,16.5,0,0,3,3.05,-0.27,0,0,91,265.7,28.3,28.3,74.33,74.91,3.3,150.53,50.71,14.13,1067.7,205.03,221.21,189.16,206.74,170.82,187.72,911.28,973.01,934.1,949.5,895.28,1006.84,2.5,151.85,45.1,13.67,935.1,203.53,176.17,189.86,163.53,166.21,145.94,971.09,775.37,845.94,717.94,895.82,573.82,826.4,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,7.9,     3D,3704,      ,       ,111,       
2/16/2019, 06:45:41,  -05:00,       ,29.8122635,30.8269558,547.9,29.88,774.1,16.5,0,0,-24.37,3.01,-0.24,0,0,91,265.7,28.3,28.3,74.33,74.91,3.3,150.59,50.63,14.19,1060.6,205.43,221.66,189.46,207.04,171.06,188.01,913.68,973.82,934.96,951.17,900.86,1008.17,2.51,151.81,45.14,13.68,932.3,204.27,176.8,190.5,164.09,166.67,146.18,972.7,778.74,848.07,719.81,892.54,575.29,825.2,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,126,       
2/16/2019, 06:45:42,  -05:00,       ,29.8122635,30.8269558,549.9,29.88,773.6,16.5,0,0,-21.19,3.04,-0.24,-0.01,0.02,91,265.7,28.3,28.3,74.33,74.91,3.3,150.62,50.68,14.08,1066.2,205.87,222.09,189.72,207.33,171.3,188.3,915.29,974.62,936.21,952.44,906.62,1008.3,2.49,151.75,45.1,13.73,933.5,204.97,177.46,191.05,164.6,167.06,146.41,973.74,779.91,849.85,723.27,896.59,575.96,824.7,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,126,       
2/16/2019, 06:45:43,  -05:00,       ,29.8122635,30.8269558,550.9,29.88,773.3,16.5,0,0,-6.5,3.03,-0.19,-0.01,0.04,91,265.7,28.3,28.3,74.33,74.91,3.29,150.63,50.73,14.02,1063.9,206.39,222.56,190.06,207.65,171.57,188.63,918.15,975.26,938.81,954.35,914.4,1008.86,2.49,151.7,45.08,13.78,930.9,205.63,178.07,191.55,165.07,167.42,146.62,976.01,781.29,852.65,718.78,901.3,573.3,824.3,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,126,       
2/16/2019, 06:45:44,  -05:00,       ,29.8122635,30.8269558,554.9,29.88,772.5,16.5,0,0,33.61,2.97,-0.24,0,0.02,91,265.7,28.3,28.3,74.33,74.91,3.31,150.65,50.52,14.15,1060.7,206.76,222.94,190.32,207.91,171.79,188.87,916.84,976.22,936.5,955.63,903.68,1008.79,2.52,151.69,45.04,13.77,926.6,206.34,178.71,192.06,165.57,167.81,146.83,977.89,782.68,855.43,724.31,907.71,573.15,823.6,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,126,       
2/16/2019, 06:45:45,  -05:00,       ,29.8122635,30.826952,555.9,29.88,768.3,16.5,0,0,79.25,2.99,-0.23,-0.01,0.01,90.9,265.7,28.3,28.3,74.33,74.91,3.29,150.72,50.53,14.17,1060,207.19,223.36,190.61,208.19,172.04,189.14,917.09,977.49,934.6,957.25,900.63,1009.31,2.5,151.72,44.78,13.94,905.7,207.04,179.38,192.61,166.07,168.2,147.07,980.44,783.7,858.02,728.7,910.62,573.82,819.4,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,126,       
2/16/2019, 06:45:46,  -05:00,       ,29.8122635,30.826952,550.9,29.88,768.5,16.5,0,0,71.23,3.01,-0.25,0.01,0.02,90.9,265.7,28.3,28.3,74.33,74.91,3.31,150.75,50.63,14.1,1072.3,207.6,223.74,190.85,208.47,172.26,189.39,918.41,978.52,934.72,957.5,904.19,1009.62,2.5,151.73,44.67,13.93,905.4,207.7,180.02,193.15,166.56,168.6,147.25,983.91,784.39,858.53,735.73,910.22,577.79,819.6,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,126,       
2/16/2019, 06:45:47,  -05:00,       ,29.8122635,30.826952,545.9,29.88,768.5,16.5,0,0,-24.28,2.98,-0.24,0,0,91,265.7,28.3,28.3,74.33,74.91,3.36,150.78,50.93,14.43,1114.4,207.98,224.13,191.15,208.72,172.43,189.63,922.11,980.7,938.14,958.3,921.88,1009.61,2.57,151.74,44.82,14.47,934.3,208.35,180.67,193.68,167.08,169.02,147.45,987.96,787.19,859.9,742.69,908.79,585.29,819.6,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,126,       
2/16/2019, 06:45:48,  -05:00,       ,29.8122635,30.826952,545.9,29.88,768.6,16.5,0,0,-106.05,2.99,-0.2,-0.01,0.02,91,265.7,28.4,28.3,74.33,74.91,3.5,150.77,51.53,14.16,1155.4,208.39,224.57,191.48,209.04,172.66,189.94,927.25,986.49,944.01,960.01,936.83,1008.62,2.76,151.72,45.53,14.23,992,208.93,181.32,194.21,167.54,169.42,147.65,989.79,794.85,863.48,754.42,913.88,597.38,819.6,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,126,       
2/16/2019, 06:45:49,  -05:00,       ,29.8122635,30.826952,544.9,29.88,768.9,16.5,0,0,-120.01,3.02,-0.22,0,0.02,90.9,265.7,28.4,28.3,74.33,74.91,3.6,150.75,51.62,14.08,1160.5,208.83,225.02,191.78,209.36,172.89,190.24,934.05,993.83,952.35,961.84,952.33,1009.92,2.86,151.71,45.82,14.04,1011.3,209.63,181.9,194.77,168.06,169.84,147.9,989.31,804.87,868.76,763.14,921.43,614.05,819.9,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,126,       
2/16/2019, 06:45:50,  -05:00,       ,29.8122635,30.826952,547.9,29.88,769.1,16.2,0,0,-90.27,3.04,-0.22,0.01,0.03,91,265.7,28.4,28.3,74.33,74.91,3.65,150.74,51.75,14.08,1156.5,209.28,225.51,192.11,209.74,173.15,190.59,939.97,1000.13,958.44,963.87,967.9,1011.4,2.91,151.71,45.82,14.08,1000.2,210.3,182.48,195.23,168.53,170.23,148.14,988.85,814.51,873.43,767.94,929,632.74,820.1,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,3.9,     3D,3704,      ,       ,126,       
2/16/2019, 06:45:51,  -05:00,       ,29.8122635,30.826952,550.9,29.88,768.8,16.2,0,0,-25.97,3.05,-0.18,0,-0.02,91,265.7,28.4,28.3,74.33,74.91,3.68,150.75,51.74,14.01,1168.8,209.65,225.96,192.4,210.07,173.35,190.89,945.6,1004.72,964.12,966.76,982.14,1014.59,2.9,151.7,45.82,14.1,1003.8,211.02,183.12,195.75,168.99,170.66,148.45,989.55,821.99,877.63,775.17,937.34,648.1,819.8,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,126,       
2/16/2019, 06:45:52,  -05:00,       ,29.8122635,30.8269558,550.9,29.88,768.7,16.2,0,0,29.28,2.85,-0.15,0.01,0,91,265.7,28.4,28.3,74.33,74.91,3.7,150.79,51.8,13.92,1175.6,210.07,226.42,192.68,210.36,173.56,191.22,950.95,1010.18,970,968.79,994.73,1016.57,2.9,151.71,45.81,14.15,1008.3,211.69,183.74,196.22,169.44,171.02,148.72,989.6,828.69,881.77,779.91,942.33,656.33,819.7,0,  GPS,265,111.3,111.3,118.5,131.3,       ,       ,       ,      ,       ,       ,4.4,0,  NONE,   NONE,      ,      ,0,     3D,3704,      ,       ,126,       
